operadora,nombre_oferta,tipo,precio_base,velocidad_fibra,adecuada_para_uso_intenso,gb_linea_principal,lineas_moviles_base,max_lineas_adicionales,precio_linea_adicional,gb_linea_adicional,incluye_linea_fija,minutos,permanencia,opciones_tv,plataformas_incluidas_base,opciones_streaming,promocion_precio_base,promocion_duracion,caracteristicas,puntuacion,id,created_date,updated_date,created_by_id,created_by,is_sample
"Lowi","Fibra 600 mb + 100 GB de móvil ","fibra_movil","36","600Mb","","100","1","4","5","50","","Ilimitados","","[{""nombre"":""Lowi Tv"",""precio"":5,""canales"":[]},{""nombre"":""Lowi Tv + Pack Deportes"",""precio"":8,""canales"":[]}]","[]","[{""nombre"":""Netflix"",""precio"":6},{""nombre"":""Disney +"",""precio"":5},{""nombre"":""Prime Video"",""precio"":4}]","","","[]","","68c93308ba253b063a3ea6da","2025-09-16T09:51:04.107000","2025-10-03T07:31:43.437000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Lowi","Fibra 300 mb + 100GB de móvil","fibra_movil","33","300Mb","","100","1","4","5","50","","Ilimitados","","[{""nombre"":""Lowi Tv"",""precio"":5,""canales"":[]},{""nombre"":""Lowi Tv + Pack Deportes"",""precio"":8,""canales"":[]}]","[]","[{""nombre"":""Netflix"",""precio"":6},{""nombre"":""Disney +"",""precio"":5},{""nombre"":""Prime Video"",""precio"":4}]","","","[]","","68c93d40a8d3f6470cc440c9","2025-09-16T10:34:40.299000","2025-10-03T07:31:57.460000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Lowi","Fibra 600 mb + 150GB de móvil","fibra_movil","38","600Mb","","150","1","4","5","50","","Ilimitados","","[{""nombre"":""Lowi Tv"",""precio"":5,""canales"":[]}]","[]","[{""nombre"":""Netflix"",""precio"":6},{""nombre"":""Disney +"",""precio"":5},{""nombre"":""Prime Video"",""precio"":4},{""nombre"":""Lowi Tv + Pack Deportes"",""precio"":8}]","","","[]","","68c93dd8e0614515dfc60d6b","2025-09-16T10:37:12.318000","2025-09-23T08:01:22.159000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Lowi","Fibra 1Gb + 50GB de móvil","fibra_movil","35","1Gb","true","50","1","4","5","50","","Ilimitados","","[{""nombre"":""Lowi Tv"",""precio"":5,""canales"":[]},{""nombre"":""Lowi Tv + Pack Deportes"",""precio"":8,""canales"":[]}]","[]","[{""nombre"":""Netflix"",""precio"":6},{""nombre"":""Disney +"",""precio"":5},{""nombre"":""Prime Video "",""precio"":4}]","","","[]","","68c93e72ec0a034761d891ed","2025-09-16T10:39:46.236000","2025-10-03T07:32:09.322000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Lowi","Fibra 1Gb + 100GB de móvil","fibra_movil","38","1Gb","true","100","1","4","5","50","","Ilimitados","","[{""nombre"":""Lowi Tv"",""precio"":5,""canales"":[]},{""nombre"":""Lowi Tv + Pack Deportes"",""precio"":8,""canales"":[]}]","[]","[{""nombre"":""Netflix"",""precio"":6},{""nombre"":""Disney +"",""precio"":5},{""nombre"":""Prime Video"",""precio"":4}]","","","[]","","68c93ef3a8d3f6470cc452e6","2025-09-16T10:41:55.184000","2025-10-03T07:32:35.360000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"O2","Fibra 600 Mb","fibra","27","600Mb","","","","","","","true","Ilimitados","","[]","[]","[]","","","[]","","68c96e4a22daed8442893f95","2025-09-16T14:03:54.150000","2025-09-16T14:03:54.150000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"O2","Fibra 1 GB","fibra","31","1 GB","true","","","","","","true","Ilimitados","","[]","[]","[]","","","[]","","68c96f10fffc1181044c2102","2025-09-16T14:07:12.312000","2025-09-16T14:07:12.312000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Lowi","Fibra 300 Mb","fibra","25","300Mb","","","","","","","","Ilimitados","","[]","[]","[]","","","[""Sujeto a direcciones""]","","68c96f644a0d21ec6b2928dd","2025-09-16T14:08:36.733000","2025-09-16T14:10:10.103000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Pepephone","Fibra 600 Mb + Móvil 50 Gb","fibra_movil","35","600Mb","","50","1","4","5","50","","Ilimitados","3","[]","[]","[]","","","[]","","68cad604a4702e3702e1316b","2025-09-17T15:38:44.561000","2025-09-18T08:12:09.674000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Pepephone","Fibra 600 Mb + Móvil 60 Gb + PepeTv + Netflix","fibra_movil_tv","45","600 Mb","","60","1","4","5","60","","Ilimitados","","[]","[""Netflix""]","[{""nombre"":""Prime Video"",""precio"":4},{""nombre"":""Hbo Max"",""precio"":8},{""nombre"":""Prime Video + Hbo Max"",""precio"":11}]","","","[]","","68cad68cfad6ed0ac7c3f00b","2025-09-17T15:41:00.320000","2025-09-23T08:03:37.154000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Pepephone","Fibra 1 Gb + 120 GB de Móvil","fibra_movil","38","1 Gb","true","120","1","4","10","120","","Ilimitados","","[]","[]","[]","","","[]","","68cbbf8b58cc14d55f07d8f6","2025-09-18T08:15:07.429000","2025-09-18T08:15:07.429000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Pepephone","Fibra 1 Gb + Lina Móvil 350 Gb","fibra_movil_tv","50","1 Gb","true","350","1","4","10","350","","Ilimitados","","[]","[""PepeTv""]","[{""nombre"":""Netflix"",""precio"":6},{""nombre"":""Netflix + Prime Video"",""precio"":8},{""nombre"":""Netflix + HBO"",""precio"":14},{""nombre"":""Netflix + Prime Video + HBO"",""precio"":15}]","","","[]","","68cbc0711c4543b84e083158","2025-09-18T08:18:57.056000","2025-09-23T08:05:24.772000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Euskaltel","Fibra 1 Gb + 2 Linea Ilimitadas + Tv + Netflix + Disney +","fibra_movil","54.9","1 Gb","true","999","2","3","3","999","true","Ilimitados","12","[]","[""Netflix"",""Disney +""]","[]","44.9","3","[]","","68d0ff47eecb732a4a24429b","2025-09-22T07:48:23.902000","2025-09-23T08:10:54.469000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"MasMovil","Fibra 500 Mb + 2 lineas Móviles con 50 Gb a compartir","fibra_movil","34.9","500 Mb","","50","2","3","5","25","true","Ilimitados","12","[{""nombre"":""MasMóvil Tv"",""precio"":6,""canales"":[]}]","[]","[{""nombre"":""MasMóvil Tv + Deportes"",""precio"":12}]","34.9","12","[]","","68d249aae400022b735c6390","2025-09-23T07:18:02.271000","2025-09-23T08:09:11.852000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"MasMovil","Fibra 500 Mb + 2 lineas Móviles con 100 Gb a compartir","fibra_movil","39.9","500 Mb","","100","2","3","5","25","true","Ilimitados","12","[{""nombre"":""MasMóvil Tv"",""precio"":6,""canales"":[]}]","[]","[{""nombre"":""MasMóvil Tv + Deportes"",""precio"":12}]","39.9","12","[]","","68d24a4c8249d26a9a660bf7","2025-09-23T07:20:44.172000","2025-09-23T08:09:26.840000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"MasMovil","Fibra 500 Mb + 2 lineas Móviles con 200 Gb a compartir","fibra_movil","46.9","500 Mb","","200","2","3","5","25","true","Ilimitados","12","[{""nombre"":""MasMóvil Tv"",""precio"":6,""canales"":[]}]","[]","[{""nombre"":""MasMóvil Tv + Deportes"",""precio"":12}]","46.9","12","[]","","68d24ac256a109a262fd0593","2025-09-23T07:22:42.174000","2025-09-23T08:09:44.594000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"MasMovil","Fibra 1 Gb + 2 lineas Móviles con 50 Gb a compartir","fibra_movil","44.9","1 Gb","true","50","2","3","5","25","true","Ilimitados","12","[{""nombre"":""Masmóvil Tv"",""precio"":6,""canales"":[]}]","[]","[{""nombre"":""MasMóvil Tv + Deportes"",""precio"":12}]","34.9","3","[]","","68d24c87dded7d22a2bb3695","2025-09-23T07:30:15.232000","2025-09-23T08:14:25.829000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"MasMovil","Fibra 1 Gb + 2 lineas Móviles con 100 Gb a compartir","fibra_movil","49.9","1 Gb","true","100","2","3","5","25","true","Ilimitados","12","[{""nombre"":""MasMóvil Tv"",""precio"":6,""canales"":[]}]","[]","[{""nombre"":""MasMóvil Tv + Deportes"",""precio"":12}]","39.9","3","[]","","68d24cf8e7f0a0b37d018d52","2025-09-23T07:32:08.825000","2025-09-23T08:14:35.081000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"MasMovil","Fibra 1 Gb + 2 lineas Móviles con 200 Gb a compartir","fibra_movil","56.9","1 Gb","true","200","2","3","5","25","true","Ilimitados","12","[{""nombre"":""MasMóvil tv"",""precio"":6,""canales"":[]}]","[]","[{""nombre"":""MasMóvil Tv + Deportes"",""precio"":12}]","46.9","3","[]","","68d24dcaefff59f3da3a7513","2025-09-23T07:35:38.829000","2025-09-23T08:14:48.082000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Vodafone","Fibra 600Mb y línea móvil 50GB","fibra_movil","40","600Mb","","50","1","3","5","50","true","Ilimitados","12","[{""nombre"":""Vodafone Tv"",""precio"":5,""canales"":[]}]","[]","[{""nombre"":""Hbo Max"",""precio"":6},{""nombre"":""Disney +"",""precio"":6},{""nombre"":""Prime Video"",""precio"":1.99},{""nombre"":""Netflix"",""precio"":1.99}]","","","[]","","68df7e00b022eea7d3185ff1","2025-10-03T07:40:48.068000","2025-10-03T07:40:48.068000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Vodafone","Fibra 600Mb y dos líneas móvil Gb Ilimitados","fibra_movil","45","600","true","999","2","2","2.5","999","true","Ilimitados","","[{""nombre"":""Vodafone Tv"",""precio"":5,""canales"":[]}]","[]","[{""nombre"":""Hbo Max"",""precio"":6},{""nombre"":""Disney +"",""precio"":6},{""nombre"":""Prime"",""precio"":1.99},{""nombre"":""Netflix"",""precio"":1.99}]","","","[]","","68df7ed683a9c2d9408de2e5","2025-10-03T07:44:22.456000","2025-10-03T07:44:22.456000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
